City,Country,Average of PostCode,PropertyMedianValue,State,StateCode,Suburb,UpdatedMonth,UpdatedYear
Sydney,Australia,2476.00,,New South Wales,NSW,Acacia Plateau,6,2017
Sydney,Australia,2629.00,,New South Wales,NSW,Adaminaby,6,2017
Sydney,Australia,2289.00,675000,New South Wales,NSW,Adamstown,6,2017
Sydney,Australia,2289.00,675000,New South Wales,NSW,Adamstown Heights,6,2017
Sydney,Australia,2729.00,,New South Wales,NSW,Adelong,6,2017
Sydney,Australia,2474.00,329000,New South Wales,NSW,Afterlee,6,2017
Sydney,Australia,2753.00,672500,New South Wales,NSW,Agnes Banks,6,2017
Sydney,Australia,2560.00,593000,New South Wales,NSW,Airds,6,2017
Sydney,Australia,2546.00,420000,New South Wales,NSW,Akolele,6,2017
Sydney,Australia,2527.00,585000,New South Wales,NSW,Albion Park,6,2017
Sydney,Australia,2527.00,585000,New South Wales,NSW,Albion Park Rail,6,2017
Sydney,Australia,2640.00,335000,New South Wales,NSW,Albury,6,2017
Sydney,Australia,2440.00,329000,New South Wales,NSW,Aldavilla,6,2017
Sydney,Australia,2870.00,255000,New South Wales,NSW,Alectown,6,2017
Sydney,Australia,2234.00,1202500,New South Wales,NSW,Alfords Point,6,2017
Sydney,Australia,2650.00,344500,New South Wales,NSW,Alfredtown,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Alice,6,2017
Sydney,Australia,2339.50,957500,New South Wales,NSW,Alison,12,4034
Sydney,Australia,2100.00,1535000,New South Wales,NSW,Allambie Heights,6,2017
Sydney,Australia,2320.00,415000,New South Wales,NSW,Allandale,6,2017
Sydney,Australia,2218.00,722500,New South Wales,NSW,Allawah,6,2017
Sydney,Australia,2671.00,165000,New South Wales,NSW,Alleena,6,2017
Sydney,Australia,2441.00,385000,New South Wales,NSW,Allgomera,6,2017
Sydney,Australia,2425.00,360000,New South Wales,NSW,Allworth,6,2017
Sydney,Australia,2311.00,,New South Wales,NSW,Allynbrook,6,2017
Sydney,Australia,2659.00,,New South Wales,NSW,Alma Park,6,2017
Sydney,Australia,2575.00,695000,New South Wales,NSW,Alpine,6,2017
Sydney,Australia,2477.00,583750,New South Wales,NSW,Alstonvale,6,2017
Sydney,Australia,2477.00,583750,New South Wales,NSW,Alstonville,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Alumy Creek,6,2017
Sydney,Australia,2866.00,335000,New South Wales,NSW,Amaroo,6,2017
Sydney,Australia,2560.00,593000,New South Wales,NSW,Ambarvale,6,2017
Sydney,Australia,2320.00,415000,New South Wales,NSW,Anambah,6,2017
Sydney,Australia,2621.00,645000,New South Wales,NSW,Anembo,6,2017
Sydney,Australia,2550.00,419000,New South Wales,NSW,Angledale,6,2017
Sydney,Australia,2832.00,,New South Wales,NSW,Angledool,6,2017
Sydney,Australia,2629.00,,New South Wales,NSW,Anglers Reach,6,2017
Sydney,Australia,2464.00,447000,New South Wales,NSW,Angourie,6,2017
Sydney,Australia,2316.00,515000,New South Wales,NSW,Anna Bay,6,2017
Sydney,Australia,2038.00,1350000,New South Wales,NSW,Annandale,6,2017
Sydney,Australia,2156.00,1585000,New South Wales,NSW,Annangrove,6,2017
Sydney,Australia,2560.00,593000,New South Wales,NSW,Appin,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Apple Tree Flat,6,2017
Sydney,Australia,2340.00,333000,New South Wales,NSW,Appleby,6,2017
Sydney,Australia,2330.00,397500,New South Wales,NSW,Appletree Flat,6,2017
Sydney,Australia,2820.00,180000,New South Wales,NSW,Apsley,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Arable,6,2017
Sydney,Australia,2431.00,335000,New South Wales,NSW,Arakoon,6,2017
Sydney,Australia,2622.00,555000,New South Wales,NSW,Araluen,6,2017
Sydney,Australia,2622.00,555000,New South Wales,NSW,Araluen North,6,2017
Sydney,Australia,2714.00,,New South Wales,NSW,Aratula,6,2017
Sydney,Australia,2159.00,1800000,New South Wales,NSW,Arcadia,6,2017
Sydney,Australia,2283.00,515500,New South Wales,NSW,Arcadia Vale,6,2017
Sydney,Australia,2338.00,,New South Wales,NSW,Ardglen,6,2017
Sydney,Australia,2358.00,285000,New South Wales,NSW,Arding,6,2017
Sydney,Australia,2665.00,95500,New South Wales,NSW,Ardlethan,6,2017
Sydney,Australia,2720.00,255000,New South Wales,NSW,Argalong,6,2017
Sydney,Australia,2284.00,465000,New South Wales,NSW,Argenton,6,2017
Sydney,Australia,2449.00,,New South Wales,NSW,Argents Hill,6,2017
Sydney,Australia,2707.00,,New South Wales,NSW,Argoon,6,2017
Sydney,Australia,2350.00,356250,New South Wales,NSW,Argyle,6,2017
Sydney,Australia,2665.00,95500,New South Wales,NSW,Ariah Park,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Arkell,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Arkstone,6,2017
Sydney,Australia,2831.00,,New South Wales,NSW,Armatree,6,2017
Sydney,Australia,2350.00,356250,New South Wales,NSW,Armidale,6,2017
Sydney,Australia,2205.00,750000,New South Wales,NSW,Arncliffe,6,2017
Sydney,Australia,2148.00,710000,New South Wales,NSW,Arndell Park,6,2017
Sydney,Australia,2456.00,507500,New South Wales,NSW,Arrawarra,6,2017
Sydney,Australia,2456.00,507500,New South Wales,NSW,Arrawarra Headland,6,2017
Sydney,Australia,2064.00,980000,New South Wales,NSW,Artarmon,6,2017
Sydney,Australia,2820.00,180000,New South Wales,NSW,Arthurville,6,2017
