City,Country,Average of PostCode,PropertyMedianValue,State,StateCode,Suburb,UpdatedMonth,UpdatedYear
Sydney,Australia,2429.00,320000,New South Wales,NSW,Cedar Party,6,2017
Sydney,Australia,2474.00,329000,New South Wales,NSW,Cedar Point,6,2017
Sydney,Australia,2374.00,397500,New South Wales,NSW,Cells River,12,4034
Sydney,Australia,2756.00,760100,New South Wales,NSW,Central Colo,6,2017
Sydney,Australia,2775.00,,New South Wales,NSW,Central Macdonald,6,2017
Sydney,Australia,2250.00,620000,New South Wales,NSW,Central Mangrove,6,2017
Sydney,Australia,2546.00,420000,New South Wales,NSW,Central Tilba,6,2017
Sydney,Australia,2325.00,342000,New South Wales,NSW,Cessnock,6,2017
Sydney,Australia,2325.00,342000,New South Wales,NSW,Cessnock West,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Chaelundi,6,2017
Sydney,Australia,2259.00,590000,New South Wales,NSW,Chain Valley Bay,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Chakola,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Chambigne,6,2017
Sydney,Australia,2848.00,,New South Wales,NSW,Charbon,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Charles Sturt University,6,2017
Sydney,Australia,2290.00,539500,New South Wales,NSW,Charlestown,6,2017
Sydney,Australia,2622.00,555000,New South Wales,NSW,Charleys Forest,6,2017
Sydney,Australia,2428.00,425500,New South Wales,NSW,Charlotte Bay,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Charlton,6,2017
Sydney,Australia,2263.00,500000,New South Wales,NSW,Charmhaven,6,2017
Sydney,Australia,2430.00,397000,New South Wales,NSW,Chatham,6,2017
Sydney,Australia,2787.00,422500,New South Wales,NSW,Chatham Valley,6,2017
Sydney,Australia,2067.00,1187000,New South Wales,NSW,Chatswood,6,2017
Sydney,Australia,2067.00,1187000,New South Wales,NSW,Chatswood West,6,2017
Sydney,Australia,2469.00,255000,New South Wales,NSW,Chatsworth,6,2017
Sydney,Australia,2083.00,,New South Wales,NSW,Cheero Point,6,2017
Sydney,Australia,2119.00,1700500,New South Wales,NSW,Cheltenham,6,2017
Sydney,Australia,2360.00,251000,New South Wales,NSW,Cherry Tree Hill,6,2017
Sydney,Australia,2126.00,1620000,New South Wales,NSW,Cherrybrook,6,2017
Sydney,Australia,2162.00,837500,New South Wales,NSW,Chester Hill,6,2017
Sydney,Australia,2420.00,367500,New South Wales,NSW,Chichester,6,2017
Sydney,Australia,2036.00,840000,New South Wales,NSW,Chifley,6,2017
Sydney,Australia,2339.00,,New South Wales,NSW,Chilcotts Creek,6,2017
Sydney,Australia,2480.00,389000,New South Wales,NSW,Chilcotts Grass,6,2017
Sydney,Australia,2484.00,515000,New South Wales,NSW,Chillingham,6,2017
Sydney,Australia,2487.00,580000,New South Wales,NSW,Chinderah,6,2017
Sydney,Australia,2550.00,419000,New South Wales,NSW,Chinnock,6,2017
Sydney,Australia,2170.00,678000,New South Wales,NSW,Chipping Norton,6,2017
Sydney,Australia,2046.00,1365000,New South Wales,NSW,Chiswick,6,2017
Sydney,Australia,2261.00,627500,New South Wales,NSW,Chittaway Bay,6,2017
Sydney,Australia,2261.00,627500,New South Wales,NSW,Chittaway Point,6,2017
Sydney,Australia,2484.00,515000,New South Wales,NSW,Chowan Creek,6,2017
Sydney,Australia,2190.00,932500,New South Wales,NSW,Chullora,6,2017
Sydney,Australia,2105.00,,New South Wales,NSW,Church Point,6,2017
Sydney,Australia,2848.00,,New South Wales,NSW,Clandulla,6,2017
Sydney,Australia,2711.00,122000,New South Wales,NSW,Clare,6,2017
Sydney,Australia,2747.00,650000,New South Wales,NSW,Claremont Meadows,6,2017
Sydney,Australia,2790.00,320000,New South Wales,NSW,Clarence,6,2017
Sydney,Australia,2321.00,465500,New South Wales,NSW,Clarence Town,6,2017
Sydney,Australia,2756.00,760100,New South Wales,NSW,Clarendon,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Clarenza,6,2017
Sydney,Australia,2107.00,1630000,New South Wales,NSW,Clareville,6,2017
Sydney,Australia,2559.00,,New South Wales,NSW,Claymore,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Clear Creek,6,2017
Sydney,Australia,2620.00,450000,New South Wales,NSW,Clear Range,6,2017
Sydney,Australia,2469.00,255000,New South Wales,NSW,Clearfield,6,2017
Sydney,Australia,2206.00,1300000,New South Wales,NSW,Clemton Park,6,2017
Sydney,Australia,2800.00,372500,New South Wales,NSW,Clergate,6,2017
Sydney,Australia,2530.00,600000,New South Wales,NSW,Cleveland,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Clifden,6,2017
Sydney,Australia,2321.00,465500,New South Wales,NSW,Cliftleigh,6,2017
Sydney,Australia,2515.00,970000,New South Wales,NSW,Clifton,6,2017
Sydney,Australia,2800.00,372500,New South Wales,NSW,Clifton Grove,6,2017
Sydney,Australia,2093.00,1470000,New South Wales,NSW,Clontarf,6,2017
Sydney,Australia,2484.00,515000,New South Wales,NSW,Clothiers Creek,6,2017
Sydney,Australia,2453.00,382500,New South Wales,NSW,Clouds Creek,6,2017
Sydney,Australia,2480.00,389000,New South Wales,NSW,Clovass,6,2017
Sydney,Australia,2031.00,1245000,New South Wales,NSW,Clovelly West,6,2017
Sydney,Australia,2480.00,389000,New South Wales,NSW,Clunes,6,2017
Sydney,Australia,2440.00,329000,New South Wales,NSW,Clybucca,6,2017
Sydney,Australia,2142.00,632000,New South Wales,NSW,Clyde,6,2017
Sydney,Australia,2330.00,397500,New South Wales,NSW,Clydesdale,6,2017
Sydney,Australia,2646.00,245000,New South Wales,NSW,Coads Tank,6,2017
Sydney,Australia,2283.00,515500,New South Wales,NSW,Coal Point,6,2017
Sydney,Australia,2508.00,912500,New South Wales,NSW,Coalcliff,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Coaldale,6,2017
Sydney,Australia,2108.00,2000000,New South Wales,NSW,Coasters Retreat,6,2017
Sydney,Australia,2486.00,520000,New South Wales,NSW,Cobaki,6,2017
Sydney,Australia,2486.00,520000,New South Wales,NSW,Cobaki Lakes,6,2017
Sydney,Australia,2835.00,181000,New South Wales,NSW,Cobar,6,2017
Sydney,Australia,2790.00,320000,New South Wales,NSW,Cobar Park,6,2017
Sydney,Australia,2550.00,419000,New South Wales,NSW,Cobargo,6,2017
Sydney,Australia,2422.00,340560,New South Wales,NSW,Cobark,6,2017
Sydney,Australia,2347.00,,New South Wales,NSW,Cobbadah,6,2017
Sydney,Australia,2570.00,737750,New South Wales,NSW,Cobbitty,6,2017
Sydney,Australia,2732.00,,New South Wales,NSW,Cobramunga,6,2017
Sydney,Australia,2539.00,584600,New South Wales,NSW,Cockwhy,6,2017
Sydney,Australia,2471.00,,New South Wales,NSW,Codrington,6,2017
Sydney,Australia,2480.00,389000,New South Wales,NSW,Coffee Camp,6,2017
Sydney,Australia,2450.00,440000,New South Wales,NSW,Coffs Harbour,6,2017
Sydney,Australia,2450.00,440000,New South Wales,NSW,Coffs Harbour Jetty,6,2017
Sydney,Australia,2450.00,440000,New South Wales,NSW,Coffs Harbour Plaza,6,2017
Sydney,Australia,2849.00,,New South Wales,NSW,Coggan,6,2017
Sydney,Australia,2083.00,,New South Wales,NSW,Cogra Bay,6,2017
Sydney,Australia,2537.00,427500,New South Wales,NSW,Coila,6,2017
Sydney,Australia,2462.00,,New South Wales,NSW,Coldstream,6,2017
Sydney,Australia,2707.00,,New South Wales,NSW,Coleambally,6,2017
Sydney,Australia,2761.00,662000,New South Wales,NSW,Colebee,6,2017
Sydney,Australia,2515.00,970000,New South Wales,NSW,Coledale,6,2017
Sydney,Australia,2700.00,196000,New South Wales,NSW,Colinroobie,6,2017
Sydney,Australia,2626.00,,New South Wales,NSW,Colinton,6,2017
Sydney,Australia,2833.00,,New South Wales,NSW,Collarenebri,6,2017
Sydney,Australia,2097.00,1470750,New South Wales,NSW,Collaroy,6,2017
Sydney,Australia,2097.00,1470750,New South Wales,NSW,Collaroy Beach,6,2017
Sydney,Australia,2097.00,1470750,New South Wales,NSW,Collaroy Plateau West,6,2017
Sydney,Australia,2581.00,,New South Wales,NSW,Collector,6,2017
Sydney,Australia,2646.00,245000,New South Wales,NSW,Collendina,6,2017
Sydney,Australia,2827.00,,New South Wales,NSW,Collie,6,2017
Sydney,Australia,2650.00,344500,New South Wales,NSW,Collingullie,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Collingwood,6,2017
Sydney,Australia,2474.00,329000,New South Wales,NSW,Collins Creek,6,2017
Sydney,Australia,2440.00,329000,New South Wales,NSW,Collombatti,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Collum Collum,6,2017
Sydney,Australia,2343.00,,New South Wales,NSW,Colly Blue,6,2017
Sydney,Australia,2775.50,1167600,New South Wales,NSW,Colo,12,4034
Sydney,Australia,2756.00,760100,New South Wales,NSW,Colo Heights,6,2017
Sydney,Australia,2575.00,695000,New South Wales,NSW,Colo Vale,6,2017
Sydney,Australia,2262.00,504000,New South Wales,NSW,Colongra,6,2017
Sydney,Australia,2760.00,600000,New South Wales,NSW,Colyton,6,2017
Sydney,Australia,2440.00,329000,New South Wales,NSW,Comara,6,2017
Sydney,Australia,2666.00,229000,New South Wales,NSW,Combaning,6,2017
Sydney,Australia,2829.00,145000,New South Wales,NSW,Combara,6,2017
Sydney,Australia,2540.00,520000,New South Wales,NSW,Comberton,6,2017
Sydney,Australia,2330.00,397500,New South Wales,NSW,Combo,6,2017
Sydney,Australia,2429.00,320000,New South Wales,NSW,Comboyne,6,2017
Sydney,Australia,2832.00,,New South Wales,NSW,Come By Chance,6,2017
Sydney,Australia,2540.00,520000,New South Wales,NSW,Comerong Island,6,2017
Sydney,Australia,2484.00,515000,New South Wales,NSW,Commissioners Creek,6,2017
Sydney,Australia,2226.00,1135500,New South Wales,NSW,Como,6,2017
Sydney,Australia,2820.00,180000,New South Wales,NSW,Comobella,6,2017
Sydney,Australia,2710.00,210000,New South Wales,NSW,Conargo,6,2017
Sydney,Australia,2137.00,1275000,New South Wales,NSW,Concord,6,2017
Sydney,Australia,2138.00,910000,New South Wales,NSW,Concord West,6,2017
Sydney,Australia,2200.00,640000,New South Wales,NSW,Condell Park,6,2017
Sydney,Australia,2877.00,132500,New South Wales,NSW,Condobolin,6,2017
Sydney,Australia,2484.00,515000,New South Wales,NSW,Condong,6,2017
Sydney,Australia,2422.00,340560,New South Wales,NSW,Coneac,6,2017
Sydney,Australia,2447.00,320000,New South Wales,NSW,Congarinni,6,2017
Sydney,Australia,2447.00,320000,New South Wales,NSW,Congarinni North,6,2017
Sydney,Australia,2325.00,342000,New South Wales,NSW,Congewai,6,2017
Sydney,Australia,2537.00,427500,New South Wales,NSW,Congo,6,2017
Sydney,Australia,2829.00,145000,New South Wales,NSW,Conimbia,6,2017
Sydney,Australia,2500.00,620000,New South Wales,NSW,Coniston,6,2017
Sydney,Australia,2539.00,584600,New South Wales,NSW,Conjola,6,2017
Sydney,Australia,2539.00,584600,New South Wales,NSW,Conjola Park,6,2017
Sydney,Australia,2221.00,1360000,New South Wales,NSW,Connells Point,6,2017
Sydney,Australia,2663.00,230000,New South Wales,NSW,Cooba,6,2017
Sydney,Australia,2034.00,1275000,New South Wales,NSW,Coogee,6,2017
Sydney,Australia,2870.00,255000,New South Wales,NSW,Cookamidgera,6,2017
Sydney,Australia,2650.00,344500,New South Wales,NSW,Cookardinia,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Cooks Gap,6,2017
Sydney,Australia,2300.00,640000,New South Wales,NSW,Cooks Hill,6,2017
Sydney,Australia,2870.00,255000,New South Wales,NSW,Cooks Myalls,6,2017
Sydney,Australia,2831.00,,New South Wales,NSW,Coolabah,6,2017
Sydney,Australia,2550.00,419000,New South Wales,NSW,Coolagolite,6,2017
Sydney,Australia,2843.00,,New South Wales,NSW,Coolah,6,2017
Sydney,Australia,2701.00,,New South Wales,NSW,Coolamon,6,2017
Sydney,Australia,2535.00,657500,New South Wales,NSW,Coolangatta,6,2017
Sydney,Australia,2550.00,419000,New South Wales,NSW,Coolangubra,6,2017
Sydney,Australia,2402.00,,New South Wales,NSW,Coolatai,6,2017
Sydney,Australia,2830.00,340000,New South Wales,NSW,Coolbaggie,6,2017
Sydney,Australia,2729.00,,New South Wales,NSW,Cooleys Creek,6,2017
Sydney,Australia,2478.00,577500,New South Wales,NSW,Coolgardie,6,2017
Sydney,Australia,2423.00,330000,New South Wales,NSW,Coolongolook,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Coolringdon,6,2017
Sydney,Australia,2632.00,210000,New South Wales,NSW,Coolumbooka,6,2017
Sydney,Australia,2622.00,555000,New South Wales,NSW,Coolumburra,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Cooma,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Cooma North,6,2017
Sydney,Australia,2428.00,425500,New South Wales,NSW,Coomba Bay,6,2017
Sydney,Australia,2428.00,425500,New South Wales,NSW,Coomba Park,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Coombadjha,6,2017
Sydney,Australia,2470.00,265000,New South Wales,NSW,Coombell,6,2017
Sydney,Australia,2343.00,,New South Wales,NSW,Coomoo Coomoo,6,2017
Sydney,Australia,2357.00,215000,New South Wales,NSW,Coonabarabran,6,2017
Sydney,Australia,2829.00,145000,New South Wales,NSW,Coonamble,6,2017
Sydney,Australia,2469.00,255000,New South Wales,NSW,Coongbar,6,2017
Sydney,Australia,2441.00,385000,New South Wales,NSW,Cooperabung,6,2017
Sydney,Australia,2426.00,,New South Wales,NSW,Coopernook,6,2017
Sydney,Australia,2550.00,419000,New South Wales,NSW,Coopers Gully,6,2017
Sydney,Australia,2479.00,1000000,New South Wales,NSW,Coopers Shoot,6,2017
Sydney,Australia,2424.00,,New South Wales,NSW,Cooplacurripa,6,2017
Sydney,Australia,2479.00,1000000,New South Wales,NSW,Coorabell,6,2017
Sydney,Australia,2265.00,580000,New South Wales,NSW,Cooranbong,6,2017
Sydney,Australia,2590.00,245000,New South Wales,NSW,Cootamundra,6,2017
Sydney,Australia,2628.00,,New South Wales,NSW,Cootralantra,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Cooyal,6,2017
Sydney,Australia,2251.00,747500,New South Wales,NSW,Copacabana,6,2017
Sydney,Australia,2852.00,265000,New South Wales,NSW,Cope,6,2017
Sydney,Australia,2422.00,340560,New South Wales,NSW,Copeland,6,2017
Sydney,Australia,2360.00,251000,New South Wales,NSW,Copeton,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Copmanhurst,6,2017
Sydney,Australia,2644.00,157000,New South Wales,NSW,Coppabella,6,2017
Sydney,Australia,2866.00,335000,New South Wales,NSW,Copper Hill,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Copperhannia,6,2017
Sydney,Australia,2471.00,,New South Wales,NSW,Coraki,6,2017
Sydney,Australia,2443.00,421500,New South Wales,NSW,Coralville,6,2017
Sydney,Australia,2450.00,440000,New South Wales,NSW,Coramba,6,2017
Sydney,Australia,2622.00,555000,New South Wales,NSW,Corang,6,2017
Sydney,Australia,2440.00,329000,New South Wales,NSW,Corangula,6,2017
Sydney,Australia,2705.00,256500,New South Wales,NSW,Corbie Hill,6,2017
Sydney,Australia,2526.00,680000,New South Wales,NSW,Cordeaux,6,2017
Sydney,Australia,2526.00,680000,New South Wales,NSW,Cordeaux Heights,6,2017
Sydney,Australia,2710.00,210000,New South Wales,NSW,Coree,6,2017
Sydney,Australia,2716.00,,New South Wales,NSW,Coree South,6,2017
Sydney,Australia,2646.00,245000,New South Wales,NSW,Coreen,6,2017
Sydney,Australia,2456.00,507500,New South Wales,NSW,Corindi Beach,6,2017
Sydney,Australia,2871.00,254000,New South Wales,NSW,Corinella,6,2017
Sydney,Australia,2315.00,576250,New South Wales,NSW,Corlette,6,2017
Sydney,Australia,2710.00,210000,New South Wales,NSW,Cornalla,6,2017
Sydney,Australia,2480.00,389000,New South Wales,NSW,Corndale,6,2017
Sydney,Australia,2790.00,320000,New South Wales,NSW,Corney Town,6,2017
Sydney,Australia,2756.00,760100,New South Wales,NSW,Cornwallis,6,2017
Sydney,Australia,2700.00,196000,New South Wales,NSW,Corobimilla,6,2017
Sydney,Australia,2646.00,245000,New South Wales,NSW,Corowa,6,2017
Sydney,Australia,2325.00,342000,New South Wales,NSW,Corrabare,6,2017
Sydney,Australia,2518.00,770000,New South Wales,NSW,Corrimal,6,2017
Sydney,Australia,2518.00,770000,New South Wales,NSW,Corrimal East,6,2017
Sydney,Australia,2711.00,122000,New South Wales,NSW,Corrong,6,2017
Sydney,Australia,2546.00,420000,New South Wales,NSW,Corunna,6,2017
Sydney,Australia,2084.00,,New South Wales,NSW,Cottage Point,6,2017
Sydney,Australia,2583.00,299000,New South Wales,NSW,Cottawalla,6,2017
Sydney,Australia,2474.00,329000,New South Wales,NSW,Cougal,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Countegany,6,2017
Sydney,Australia,2653.00,,New South Wales,NSW,Courabyra,6,2017
Sydney,Australia,2390.00,320000,New South Wales,NSW,Couradda,6,2017
Sydney,Australia,2720.00,255000,New South Wales,NSW,Couragago,6,2017
Sydney,Australia,2571.00,720000,New South Wales,NSW,Couridjah,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Coutts Crossing,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Cow Flat,6,2017
Sydney,Australia,2663.00,230000,New South Wales,NSW,Cowabbie,6,2017
Sydney,Australia,2081.00,1220000,New South Wales,NSW,Cowan,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Cowper,6,2017
Sydney,Australia,2794.00,230000,New South Wales,NSW,Cowra,6,2017
Sydney,Australia,2849.00,,New South Wales,NSW,Coxs Creek,6,2017
Sydney,Australia,2849.00,,New South Wales,NSW,Coxs Crown,6,2017
Sydney,Australia,2483.00,672500,New South Wales,NSW,Crabbes Creek,6,2017
Sydney,Australia,2627.00,340000,New South Wales,NSW,Crackenback,6,2017
Sydney,Australia,2632.00,210000,New South Wales,NSW,Craigie,6,2017
Sydney,Australia,2749.00,649000,New South Wales,NSW,Cranebrook,6,2017
Sydney,Australia,2259.00,590000,New South Wales,NSW,Crangan Bay,6,2017
Sydney,Australia,2422.00,340560,New South Wales,NSW,Craven,6,2017
Sydney,Australia,2422.00,340560,New South Wales,NSW,Craven Plateau,6,2017
Sydney,Australia,2423.00,330000,New South Wales,NSW,Crawford River,6,2017
Sydney,Australia,2338.00,,New South Wales,NSW,Crawney,6,2017
Sydney,Australia,2090.00,1290000,New South Wales,NSW,Cremorne,6,2017
Sydney,Australia,2090.00,1290000,New South Wales,NSW,Cremorne Junction,6,2017
Sydney,Australia,2090.00,1290000,New South Wales,NSW,Cremorne Point,6,2017
Sydney,Australia,2440.00,329000,New South Wales,NSW,Crescent Head,6,2017
Sydney,Australia,2620.00,450000,New South Wales,NSW,Crestwood,6,2017
Sydney,Australia,2502.00,540000,New South Wales,NSW,Cringila,6,2017
Sydney,Australia,2430.00,397000,New South Wales,NSW,Croki,6,2017
Sydney,Australia,2099.00,1000000,New South Wales,NSW,Cromer,6,2017
Sydney,Australia,2230.00,980000,New South Wales,NSW,Cronulla,6,2017
Sydney,Australia,2400.00,131500,New South Wales,NSW,Crooble,6,2017
Sydney,Australia,2539.00,584600,New South Wales,NSW,Croobyar,6,2017
Sydney,Australia,2583.00,299000,New South Wales,NSW,Crooked Corner,6,2017
Sydney,Australia,2583.00,299000,New South Wales,NSW,Crookwell,6,2017
Sydney,Australia,2527.00,585000,New South Wales,NSW,Croom,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Cross Roads,6,2017
Sydney,Australia,2446.00,473000,New South Wales,NSW,Crosslands,6,2017
Sydney,Australia,2280.00,580000,New South Wales,NSW,Croudace Bay,6,2017
Sydney,Australia,2427.00,469500,New South Wales,NSW,Crowdy Head,6,2017
Sydney,Australia,2065.00,1300000,New South Wales,NSW,Crows Nest,6,2017
Sydney,Australia,2803.00,,New South Wales,NSW,Crowther,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Crowther Island,6,2017
Sydney,Australia,2132.00,1312500,New South Wales,NSW,Croydon,6,2017
Sydney,Australia,2133.00,1178000,New South Wales,NSW,Croydon Park,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Crudine,6,2017
Sydney,Australia,2832.00,,New South Wales,NSW,Cryon,6,2017
Sydney,Australia,2484.00,515000,New South Wales,NSW,Crystal Creek,6,2017
Sydney,Australia,2835.00,181000,New South Wales,NSW,Cubba,6,2017
Sydney,Australia,2864.00,,New South Wales,NSW,Cudal,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Cudgegong,6,2017
Sydney,Australia,2700.00,196000,New South Wales,NSW,Cudgel,6,2017
Sydney,Australia,2487.00,580000,New South Wales,NSW,Cudgen,6,2017
Sydney,Australia,2484.00,515000,New South Wales,NSW,Cudgera Creek,6,2017
Sydney,Australia,2540.00,520000,New South Wales,NSW,Cudmirrah,6,2017
Sydney,Australia,2540.00,520000,New South Wales,NSW,Culburra Beach,6,2017
Sydney,Australia,2660.00,,New South Wales,NSW,Culcairn,6,2017
Sydney,Australia,2790.00,320000,New South Wales,NSW,Cullen Bullen,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Cullenbone,6,2017
Sydney,Australia,2372.00,255000,New South Wales,NSW,Cullendore,6,2017
Sydney,Australia,2581.00,,New South Wales,NSW,Cullerin,6,2017
Sydney,Australia,2469.00,255000,New South Wales,NSW,Culmaran Creek,6,2017
Sydney,Australia,2478.00,577500,New South Wales,NSW,Cumbalum,6,2017
Sydney,Australia,2852.00,265000,New South Wales,NSW,Cumbandry,6,2017
Sydney,Australia,2756.00,760100,New South Wales,NSW,Cumberland Reach,6,2017
Sydney,Australia,2871.00,254000,New South Wales,NSW,Cumbijowa,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Cumbo,6,2017
Sydney,Australia,2830.00,340000,New South Wales,NSW,Cumboogle,6,2017
Sydney,Australia,2832.00,,New South Wales,NSW,Cumborah,6,2017
Sydney,Australia,2424.00,,New South Wales,NSW,Cundle Flat,6,2017
Sydney,Australia,2430.00,397000,New South Wales,NSW,Cundletown,6,2017
Sydney,Australia,2866.00,335000,New South Wales,NSW,Cundumbul,6,2017
Sydney,Australia,2539.00,584600,New South Wales,NSW,Cunjurong Point,6,2017
Sydney,Australia,2587.00,,New South Wales,NSW,Cunningar,6,2017
Sydney,Australia,2734.00,,New South Wales,NSW,Cunninyeuk,6,2017
Sydney,Australia,2827.00,,New South Wales,NSW,Curban,6,2017
Sydney,Australia,2096.00,975000,New South Wales,NSW,Curl Curl,6,2017
Sydney,Australia,2672.00,,New South Wales,NSW,Curlew Waters,6,2017
Sydney,Australia,2381.00,,New South Wales,NSW,Curlewis,6,2017
Sydney,Australia,2648.00,174000,New South Wales,NSW,Curlwaa,6,2017
Sydney,Australia,2820.00,180000,New South Wales,NSW,Curra Creek,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Curragh,6,2017
Sydney,Australia,2533.00,760000,New South Wales,NSW,Curramore,6,2017
Sydney,Australia,2567.00,750000,New South Wales,NSW,Currans Hill,6,2017
Sydney,Australia,2540.00,520000,New South Wales,NSW,Currarong,6,2017
Sydney,Australia,2650.00,344500,New South Wales,NSW,Currawananna,6,2017
Sydney,Australia,2580.00,418630,New South Wales,NSW,Currawang,6,2017
Sydney,Australia,2650.00,344500,New South Wales,NSW,Currawarna,6,2017
Sydney,Australia,2108.00,2000000,New South Wales,NSW,Currawong Beach,6,2017
Sydney,Australia,2422.00,340560,New South Wales,NSW,Curricabark,6,2017
Sydney,Australia,2536.00,435000,New South Wales,NSW,Currowan,6,2017
Sydney,Australia,2388.00,,New South Wales,NSW,Cuttabri,6,2017
Sydney,Australia,2546.00,420000,New South Wales,NSW,Cuttagee,6,2017
Sydney,Australia,2849.00,,New South Wales,NSW,Dabee,6,2017
Sydney,Australia,2032.00,1870000,New South Wales,NSW,Daceyville,6,2017
Sydney,Australia,2474.00,329000,New South Wales,NSW,Dairy Flat,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Dairymans Plains,6,2017
Sydney,Australia,2257.00,730000,New South Wales,NSW,Daleys Point,6,2017
Sydney,Australia,2628.00,,New South Wales,NSW,Dalgety,6,2017
Sydney,Australia,2546.00,420000,New South Wales,NSW,Dalmeny,6,2017
Sydney,Australia,2460.00,321000,New South Wales,NSW,Dalmorton,6,2017
Sydney,Australia,2328.00,,New South Wales,NSW,Dalswinton,6,2017
Sydney,Australia,2581.00,,New South Wales,NSW,Dalton,6,2017
Sydney,Australia,2406.00,978750,New South Wales,NSW,Dalwood,12,4034
Sydney,Australia,2823.00,,New South Wales,NSW,Dandaloo,6,2017
Sydney,Australia,2357.00,215000,New South Wales,NSW,Dandry,6,2017
Sydney,Australia,2083.00,,New South Wales,NSW,Dangar Island,6,2017
Sydney,Australia,2350.00,356250,New South Wales,NSW,Dangarsleigh,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Dangelong,6,2017
Sydney,Australia,2530.00,600000,New South Wales,NSW,Dapto,6,2017
Sydney,Australia,2428.00,425500,New South Wales,NSW,Darawank,6,2017
Sydney,Australia,2722.00,203500,New South Wales,NSW,Darbalara,6,2017
Sydney,Australia,2793.00,,New South Wales,NSW,Darbys Falls,6,2017
Sydney,Australia,2717.00,,New South Wales,NSW,Dareton,6,2017
Sydney,Australia,2786.00,,New South Wales,NSW,Dargan,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Dark Corner,6,2017
Sydney,Australia,2508.00,912500,New South Wales,NSW,Darkes Forest,6,2017
Sydney,Australia,2454.00,630000,New South Wales,NSW,Darkwood,6,2017
Sydney,Australia,2330.00,397500,New South Wales,NSW,Darlington,6,2017
Sydney,Australia,2729.00,,New South Wales,NSW,Darlow,6,2017
Sydney,Australia,2870.00,255000,New South Wales,NSW,Daroobalgie,6,2017
Sydney,Australia,2336.00,,New South Wales,NSW,Dartbrook,6,2017
Sydney,Australia,2340.00,333000,New South Wales,NSW,Daruka,6,2017
Sydney,Australia,2085.00,1600000,New South Wales,NSW,Davidson,6,2017
Sydney,Australia,2336.00,,New South Wales,NSW,Davis Creek,6,2017
Sydney,Australia,2251.00,747500,New South Wales,NSW,Davistown,6,2017
Sydney,Australia,2646.00,245000,New South Wales,NSW,Daysdale,6,2017
Sydney,Australia,2761.00,662000,New South Wales,NSW,Dean Park,6,2017
Sydney,Australia,2443.00,421500,New South Wales,NSW,Deauville,6,2017
Sydney,Australia,2446.00,473000,New South Wales,NSW,Debenham,6,2017
Sydney,Australia,2099.00,1000000,New South Wales,NSW,Dee Why,6,2017
Sydney,Australia,2454.50,584000,New South Wales,NSW,Deep Creek,12,4034
Sydney,Australia,2371.00,,New South Wales,NSW,Deepwater,6,2017
Sydney,Australia,2453.00,382500,New South Wales,NSW,Deer Vale,6,2017
Sydney,Australia,2830.00,340000,New South Wales,NSW,Delroy Gardens,6,2017
Sydney,Australia,2403.00,,New South Wales,NSW,Delungra,6,2017
Sydney,Australia,2587.00,,New South Wales,NSW,Demondrille,6,2017
Sydney,Australia,2565.00,705000,New South Wales,NSW,Denham Court,6,2017
Sydney,Australia,2536.00,435000,New South Wales,NSW,Denhams Beach,6,2017
Sydney,Australia,2710.00,210000,New South Wales,NSW,Deniliquin,6,2017
Sydney,Australia,2114.00,861000,New South Wales,NSW,Denistone,6,2017
Sydney,Australia,2112.00,1105000,New South Wales,NSW,Denistone East,6,2017
