Country,State,StateCode,City,Suburb,Average of PostCode,PropertyMedianValue,Average of Average of Latitude,Average of Average of Longitude,UpdatedMonth,UpdatedYear
Australia,Australian Capital Territory,ACT,Canberra,Holt,2615,0,-35.225448,149.016787,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hughes,2605,0,-35.333573,149.094259,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hume,2620,0,-35.381752,149.176445,0,0
Australia,Australian Capital Territory,ACT,Canberra,Isaacs,2607,0,-35.366298,149.112868,0,0
Australia,Australian Capital Territory,ACT,Canberra,Isabella Plains,2905,0,-35.431945,149.092689,0,0
Australia,Australian Capital Territory,ACT,Canberra,Jamison Centre,2614,0,-35.253292,149.071291,0,0
Australia,Australian Capital Territory,ACT,Canberra,Jervis Bay,2540,0,-35.127437,150.707149,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kaleen,2617,0,-35.219211,149.103465,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kambah,2902,0,-35.378876,149.045895,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kingston,2604,0,-35.314775,149.141537,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kippax,2615,0,-35.221958,149.020133,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kowen Forest,2620,0,-35.319673,149.248421,0,0
Australia,Australian Capital Territory,ACT,Canberra,Latham,2615,0,-35.219561,149.032478,0,0
Australia,Australian Capital Territory,ACT,Canberra,Lawson,2617,0,-35.225439,149.100291,0,0
Australia,Australian Capital Territory,ACT,Canberra,Lyneham,2602,0,-35.251866,149.123906,0,0
Australia,Australian Capital Territory,ACT,Canberra,Lyons,2606,0,-35.339514,149.076118,0,0
Australia,Australian Capital Territory,ACT,Canberra,Macarthur,2904,0,-35.408559,149.131961,0,0
Australia,Australian Capital Territory,ACT,Canberra,Macgregor,2615,0,-35.215852,149.014395,0,0
Australia,Australian Capital Territory,ACT,Canberra,Macquarie,2614,0,-35.251259,149.063625,0,0
Australia,Australian Capital Territory,ACT,Canberra,Majura,2609,0,-35.291673,149.190655,0,0
Australia,Australian Capital Territory,ACT,Canberra,Manuka,2603,0,-35.320203,149.133731,0,0
Australia,Australian Capital Territory,ACT,Canberra,Mawson,2607,0,-35.36417,149.094507,0,0
Australia,Australian Capital Territory,ACT,Canberra,Mckellar,2617,0,-35.219085,149.072475,0,0
Australia,Australian Capital Territory,ACT,Canberra,Melba,2615,0,-35.211034,149.049966,0,0
Australia,Australian Capital Territory,ACT,Canberra,Mitchell,2911,0,-35.217487,149.141164,0,0
Australia,Australian Capital Territory,ACT,Canberra,Monash,2904,0,-35.416103,149.089758,0,0
Australia,Australian Capital Territory,ACT,Canberra,Mount Stromlo,2611,0,-35.322524,149.006418,0,0
Australia,Australian Capital Territory,ACT,Canberra,Narrabundah,2604,0,-35.333135,149.153732,0,0
Australia,Australian Capital Territory,ACT,Canberra,Ngunnawal,2913,0,-35.177716,149.106022,0,0
Australia,Australian Capital Territory,ACT,Canberra,Nicholls,2913,0,-35.190785,149.099951,0,0
Australia,Australian Capital Territory,ACT,Canberra,Oaks Estate,2620,0,-35.341151,149.221576,0,0
Australia,Australian Capital Territory,ACT,Canberra,O'Connor,2602,0,-35.264415,149.121991,0,0
Australia,Australian Capital Territory,ACT,Canberra,O'Malley,2606,0,-35.354341,149.106771,0,0
Australia,Australian Capital Territory,ACT,Canberra,Oxley,2903,0,-35.414349,149.079888,0,0
Australia,Australian Capital Territory,ACT,Canberra,Page,2614,0,-35.239696,149.049056,0,0
Australia,Australian Capital Territory,ACT,Canberra,Palmerston,2913,0,-35.194578,149.114697,0,0
Australia,Australian Capital Territory,ACT,Canberra,Parkes,2600,0,-35.300114,149.132726,0,0
Australia,Australian Capital Territory,ACT,Canberra,Parliament House,2600,0,-35.308181,149.124434,0,0
Australia,Australian Capital Territory,ACT,Canberra,Pearce,2607,0,-35.365002,149.081687,0,0
Australia,Australian Capital Territory,ACT,Canberra,Phillip,2606,0,-35.351856,149.091212,0,0
Australia,Australian Capital Territory,ACT,Canberra,Pialligo,2609,0,-35.304257,149.179244,0,0
Australia,Australian Capital Territory,ACT,Canberra,Pierces Creek,2611,0,-35.335104,148.920364,0,0
Australia,Australian Capital Territory,ACT,Canberra,Red Hill,2603,0,-35.340723,149.131106,0,0
Australia,Australian Capital Territory,ACT,Canberra,Reid,2612,0,-35.282992,149.141637,0,0
Australia,Australian Capital Territory,ACT,Canberra,Richardson,2905,0,-35.427581,149.109787,0,0
Australia,Australian Capital Territory,ACT,Canberra,Rivett,2611,0,-35.347161,149.03589,0,0
Australia,Australian Capital Territory,ACT,Canberra,Russell,2600,0,-35.299321,149.151238,0,0
Australia,Australian Capital Territory,ACT,Canberra,Scullin,2614,0,-35.233152,149.040779,0,0
Australia,Australian Capital Territory,ACT,Canberra,Spence,2615,0,-35.199588,149.062181,0,0
Australia,Australian Capital Territory,ACT,Canberra,Stirling,2611,0,-35.3486,149.049348,0,0
Australia,Australian Capital Territory,ACT,Canberra,Swinger Hill,2606,0,-35.353555,149.097227,0,0
Australia,Australian Capital Territory,ACT,Canberra,Symonston,2609,0,-35.347404,149.158785,0,0
Australia,Australian Capital Territory,ACT,Canberra,Tharwa,2620,0,-35.434676,149.125536,0,0
Australia,Australian Capital Territory,ACT,Canberra,Theodore,2905,0,-35.448697,149.124445,0,0
Australia,Australian Capital Territory,ACT,Canberra,Top Naas,2620,0,-35.522639,149.08098,0,0
Australia,Australian Capital Territory,ACT,Canberra,Torrens,2607,0,-35.372097,149.085985,0,0
Australia,Australian Capital Territory,ACT,Canberra,Tuggeranong,2900,0,-35.415165,149.0658,0,0
Australia,Australian Capital Territory,ACT,Canberra,Turner,2612,0,-35.271229,149.118368,0,0
Australia,Australian Capital Territory,ACT,Canberra,University Of Canberra,2617,0,-35.239771,149.085896,0,0
Australia,Australian Capital Territory,ACT,Canberra,Uriarra,2611,0,-35.244478,148.950667,0,0
Australia,Australian Capital Territory,ACT,Canberra,Uriarra Forest,2611,0,-35.289483,148.913247,0,0
Australia,Australian Capital Territory,ACT,Canberra,Wanniassa,2903,0,-35.401661,149.099239,0,0
Australia,Australian Capital Territory,ACT,Canberra,Waramanga,2611,0,-35.352761,149.060415,0,0
Australia,Australian Capital Territory,ACT,Canberra,Watson,2602,0,-35.238624,149.154379,0,0
Australia,Australian Capital Territory,ACT,Canberra,Weetangera,2614,0,-35.246194,149.050592,0,0
Australia,Australian Capital Territory,ACT,Canberra,Weston,2611,0,-35.341365,149.052288,0,0
Australia,Australian Capital Territory,ACT,Canberra,Weston Creek,2611,0,-35.297434,149.033649,0,0
Australia,Australian Capital Territory,ACT,Canberra,Woden,2606,0,-35.344534,149.086391,0,0
Australia,Australian Capital Territory,ACT,Canberra,Yarralumla,2600,0,-35.30748,149.098252,0,0
Australia,New South Wales,NSW,Albury,Albury,2640,0,-36.082137,146.910174,0,0
Australia,New South Wales,NSW,Albury,Bungowannah,2640,0,-36.005507,146.727509,0,0
Australia,New South Wales,NSW,Albury,Dawes Point,2000,1044350,,,6,2017
Australia,New South Wales,NSW,Albury,East Albury,2640,0,-36.075617,146.929105,0,0
Australia,New South Wales,NSW,Albury,Ettamogah,2640,0,-36.023864,146.987373,0,0
Australia,New South Wales,NSW,Albury,Glenroy,2640,0,-36.055261,146.912777,0,0
Australia,New South Wales,NSW,Albury,Hamilton Valley,2641,0,-36.037497,146.919729,0,0
Australia,New South Wales,NSW,Albury,Haymarket,2000,1044350,,,6,2017
Australia,New South Wales,NSW,Albury,Lake Hume Village,2640,0,-36.101584,147.036487,0,0
Australia,New South Wales,NSW,Albury,Lavington,2641,0,-36.050577,146.933346,0,0
Australia,New South Wales,NSW,Albury,Millers Point,2000,1044350,,,6,2017
Australia,New South Wales,NSW,Albury,Moorwatha,2640,0,-35.920784,146.670153,0,0
Australia,New South Wales,NSW,Albury,North Albury,2640,0,-36.062952,146.931552,0,0
Australia,New South Wales,NSW,Albury,Ournie,2640,0,-35.944829,147.849724,0,0
